SUID,CITY,STAID,sname,AnnMeanT,AnnMeanP,DomEcoReg
ALBE,RAL,208501535,"Strouds Cr at St Marys Rd nr Hillsborough, NC",14.58565,123.5609,ECO_45
ALBE,RAL,2085430,"Deep Creek near Moriah, NC",14.33403,118.2378,ECO_45
ALBE,RAL,208725055,"Black Cr at Weston Parkway nr Cary, NC",15.27441,118.1236,ECO_45
ALBE,RAL,208726370,"Richlands Creek at Schenk Forest nr Cary, NC",15.30297,117.7947,ECO_45
ALBE,RAL,208726995,"Hare Snipe Creek at SR 1822 nr Leesville, NC",15.20096,117.5663,ECO_45
ALBE,RAL,2087304,"SW Prong Beaverdam Creek at Raleigh, NC",15.37343,116.5055,ECO_45
ALBE,RAL,208732610,"Pigeon House Br at Crabtree Blvd at Raleigh, NC",15.47578,114.9722,ECO_45
ALBE,RAL,2087580,"Swift Creek near Apex, NC",15.35956,119.1059,ECO_45
ALBE,RAL,208758440,"Dutchmans Br at SR 1386 nr Mccullers Crossrds, NC",15.43043,119.8185,ECO_45
ALBE,RAL,208794025,"Camp Branch ab SR 1390 nr Holly Springs, NC",15.44461,120.363,ECO_45
ALBE,RAL,209517912,"N Buffalo Creek at Greensboro, NC",14.6278,120.2773,ECO_45
ALBE,RAL,209647280,"Service Creek above Dry Creek at Burlington, NC",14.66705,118.7583,ECO_45
ALBE,RAL,209647295,"Dry Cr above Service Creek at Burlington, NC",14.69931,118.7724,ECO_45
ALBE,RAL,209651815,"Branch Creek Below NC 54 nr Graham, NC",14.70288,120.0816,ECO_45
ALBE,RAL,209665940,"Rock Cr Trib at Stoney Cr Golf Crse nr Sedalia, NC",14.69126,118.6557,ECO_45
ALBE,RAL,209665990,"Rock Cr above Rock Cr Trib nr Whitsett, NC",14.64323,118.4908,ECO_45
ALBE,RAL,209679804,"Little Alamance Cr at SR 2309 nr Graham, NC",14.69357,119.8014,ECO_45
ALBE,RAL,209695780,"Brooks Cr at Eddie Perry Rd nr Bynum, NC",15.28426,119.0498,ECO_45
ALBE,RAL,209697900,"Pokeberry Creek nr Pittsboro, NC",15.25652,118.74,ECO_45
ALBE,RAL,2097355,Bolin C Ab Franklin St nr Chapel Hill NC,15.07836,118.4747,ECO_45
ALBE,RAL,2097464,"Morgan Creek near White Cross, NC",14.91673,121.0573,ECO_45
ALBE,RAL,209750881,"Wilson Cr at mouth nr Chapel Hill, NC",15.17389,118.5244,ECO_45
ALBE,RAL,2099238,"Bull Run at NC 29/70 nr Jamestown, NC",14.73384,119.0822,ECO_45
ALBE,RAL,2099480,"Richland Creek nr Archdale, NC",14.85717,117.9969,ECO_45
ALBE,RAL,2100294,"Hasketts Cr below Penwood Branch nr Asheboro, NC",15.18225,121.9814,ECO_45
ALBE,RAL,2100634,"Vestal Creek nr Asheboro, NC",15.24972,121.6053,ECO_45
ALBE,RAL,211583580,"Bowen Branch nr mouth at Winston-Salem, NC",14.3771,119.7903,ECO_45
SPLT,DEN,6713500,"Cherry Creek at Denver, CO",9.915417,42.06901,ECO_25
SPLT,DEN,3.93557E+14,"Dutch Creek at Weaver Park nr Columbine Valley, CO",9.173235,46.57735,ECO_25
SPLT,DEN,3.93613E+14,"Cottonwood Ck ab Newark WY at Greenwood Village, CO",9.39455,45.55371,ECO_25
SPLT,DEN,3.93948E+14,"Bear Creek bl Estes Rd at Lakewood, CO",9.019464,46.76035,ECO_25
SPLT,DEN,3.94107E+14,Sanderson Gulch abv Lowell Ave at Denver,9.704521,43.95013,ECO_25
SPLT,DEN,3.94409E+14,"Lakewood Gulch abv Knox St at Denver, CO",9.479523,44.36064,ECO_25
SPLT,DEN,3.94553E+14,Lena Gulch at Lewis Meadows Park at Wheat Ridge CO,8.887539,46.74424,ECO_25
SPLT,DEN,3.94629E+14,Clear Creek blw Kipling at Wheat Ridge CO,9.119665,45.88837,ECO_25
SPLT,DEN,3.94919E+14,Ralston Creek abv Simms at Arvada CO,9.220909,45.38367,ECO_25
SPLT,DEN,3.94921E+14,"Little Dry Ck bl Lowell St nr Westminster, CO",9.742702,43.15327,ECO_25
SPLT,DEN,3.95324E+14,"Big Dry Ck bl Hyland Cr at Westminster, CO",9.368573,44.28818,ECO_25
SPLT,DEN,3.95554E+14,"Rock Creek abv Rock Creek Pkwy, at Superior, CO",9.101161,44.97192,ECO_25
SPLT,DEN,3.95707E+14,"Coal Creek abv Mccaslin Rd at Superior, CO",8.83912,45.76705,ECO_25
SPLT,DEN,3.95958E+14,Dry Creek abv Baseline Rd nr Boulder CO,9.600856,42.79354,ECO_25
SPLT,DEN,4E+14,S Boulder Cr at Baseline Road nr Boulder Colo,9.148764,44.38902,ECO_25
SPLT,DEN,4.00023E+14,"Bear Cr abv Wellman Feeder Canal, at Boulder, CO",9.234113,43.30738,ECO_25
SPLT,DEN,4.00217E+14,"Boulder Creek blw 61st Street, nr Boulder, CO",9.494295,42.63696,ECO_25
SPLT,DEN,4.00607E+14,"Dry Creek blw Niwot Rd, at Niwot, CO",9.68518,40.47441,ECO_25
SPLT,DEN,4.0081E+14,Left Hand Creek abv Pike Rd at Longmont CO,9.814017,39.59713,ECO_25
SPLT,DEN,4.00855E+14,Dry Creek blw Airport Rd nr Longmont CO,9.803816,39.16082,ECO_25
SPLT,DEN,4.00925E+14,Spring Gulch at Sandstone Ranch Pk nr Longmont CO,9.926014,38.11325,ECO_25
SPLT,DEN,4.02549E+14,"Dry Creek at US 287, at Loveland, CO",9.435288,40.49228,ECO_25
SPLT,DEN,4.03035E+14,"Mail Creek nr mouth at Fort Collins, CO",9.532567,39.8685,ECO_25
SPLT,DEN,4.03048E+14,"Fossil Cr at College Ave, at Ft Collins, CO",9.374093,40.48161,ECO_25
SPLT,DEN,4.03308E+14,"Boxelder Creek at mouth, nr Fort Collins, CO",8.296503,39.4683,ECO_25
SPLT,DEN,4.03356E+14,"Spring Creek at Edora Park, at Ft Collins, CO",9.409401,39.82141,ECO_25
SPLT,DEN,4.10714E+14,"Crow Cr abv Morrie Ave, at Cheyenne, WY",6.491912,42.80828,ECO_25
SPLT,DEN,4.13659E+14,"Bear Cr abv Little Bear Cr, nr Phillips, WY",7.130457,45.83444,ECO_25
TRIN,DFW,8049490,"Johnson Ck nr Duncan Perry Rd, Grand Prairie, TX",18.49495,98.61974,ECO_32
TRIN,DFW,8049580,"Mountain Ck nr Venus, TX",18.39979,97.18565,ECO_32
TRIN,DFW,8049955,"Fish Ck at Belt Line Rd, Grand Prairie, TX",18.5154,99.15717,ECO_32
TRIN,DFW,8052740,"Doe Branch at Fishtrap Rd nr Prosper, TX",17.83507,109.8724,ECO_32
TRIN,DFW,8057200,"White Rock Ck at Greenville Ave, Dallas, TX",17.95738,105.1171,ECO_32
TRIN,DFW,8057431,"Fivemile Ck nr Simpson Stuart Rd, Dallas, TX",18.31076,103.6455,ECO_32
TRIN,DFW,8057475,"Parsons Slough nr Davis Rd nr Crandall, TX",18.45676,103.2023,ECO_32
TRIN,DFW,8059530,"Tickey Ck nr CR 400 nr Princeton, TX",17.74385,111.2528,ECO_32
TRIN,DFW,8059571,"Wilson Ck nr Gray Branch Rd nr Mckinney, TX",17.64844,111.0492,ECO_32
TRIN,DFW,8061536,"Spring Ck at Naaman School Rd nr Garland, TX",17.91386,105.8105,ECO_32
TRIN,DFW,8061740,"Duck Ck at Town East Blvd nr Mesquite, TX",18.15642,105.3628,ECO_32
TRIN,DFW,8061780,"Buffalo Ck nr Trinity Rd at Forney, TX",18.07099,109.2842,ECO_32
TRIN,DFW,8061952,"South Mesquite Ck at Lawson Rd nr Mesquite, TX",18.32159,105.3545,ECO_32
TRIN,DFW,8061995,"Mustang Ck at Fm 2757 nr Crandall, TX",18.21795,107.1349,ECO_32
TRIN,DFW,8062020,"Buffalo Ck nr Fm 148 nr Crandall, TX",18.22652,106.6487,ECO_32
TRIN,DFW,8062090,"Red Oak Ck nr Hampton Rd nr Red Oak, TX",18.18172,104.3783,ECO_32
TRIN,DFW,8062525,"Walker Ck nr Oil Field Rd nr Rosser, TX",18.4501,102.7641,ECO_32
TRIN,DFW,8062600,"Grays Ck at Cr 1603 nr Rice, TX",18.46548,105.184,ECO_32
TRIN,DFW,8062805,"Williams Ck nr Fm 1836 nr Kemp, TX",18.07224,110.9067,ECO_32
TRIN,DFW,8063047,"Bynum Ck nr Fm 308 nr Malone, TX",18.60244,99.22382,ECO_32
TRIN,DFW,8063300,"Pin Oak Ck nr Fm 73 nr Coolidge, TX",18.66128,101.1153,ECO_32
TRIN,DFW,8063510,"Little Pin Oak Ck nr Ih 45 nr Richland, TX",18.68217,103.73,ECO_32
TRIN,DFW,8063555,"S Fk Chambers Ck nr CR 102 nr Maypearl, TX",18.48422,96.32722,ECO_32
TRIN,DFW,8063565,"Mill Ck at Lowell Rd nr Milford, TX",18.46474,101.2846,ECO_32
TRIN,DFW,8063574,"Big Onion Ck at Feaster Rd nr Bardwell, TX",18.4808,101.4411,ECO_32
TRIN,DFW,8063595,"South Prong Ck at Fm 876 nr Waxahachie, TX",18.29108,105.1421,ECO_32
TRIN,DFW,8063692,"Mustang Ck at Moseley Rd nr Ennis, TX",18.43546,103.6179,ECO_32
TRIN,DFW,8064695,"Tehuacana Ck at Rural Rd 27 nr Wortham, TX",18.72451,104.1875,ECO_33
WILL,POR,14199710,"Nate Creek near Colton, Oreg.",10.79452,162.5942,ECO_3
WILL,POR,14205400,"East Fork Dairy Creek near Meacham Corner, OR",8.891111,173.0655,ECO_1
WILL,POR,14206347,"Rock Creek at Quatama Road near Hillsboro, OR",11.11803,122.3743,ECO_3
